https://live-durhamnc.opendata.arcgis.com/datasets/supermarkets-warehouse-clubs-and-supercenters-1/data,,Open Data: City and County of Durham NC,,"Supermarkets, warehouse clubs and supercenters",,Source date:  November 2020,,,,,,,,,,,,,,,,,,,
X,Y,OBJECTID,facilityid,facilityarea,name,factype,fulladdr,municipality,agency,agencytype,agencyurl,pocname,pocphone,pocemail,phone,operdays,operhours,adultmeals,readytoeatmeals,comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-78.956421,35.920921,1001,140184,0,FOOD LION #274,Grocery Store,4711 HOPE VALLEY RD,DURHAM,,,https://www.foodlion.com/,,9194932352,,9194932352,7 days/week,7am-11pm,,,Senior and high-risk Mon. and Wed. 7-8am; Pick-up and delivery available at some stores,{FDAE0148-EA5D-4E74-8C4D-B4C5BE2AE169},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.959358,35.959801,1016,140280,0,HARRIS TEETER #172,Grocery Store,1817 MARTIN LUTHER KING PKWY,DURHAM,,,https://www.harristeeter.com/,,9194899887,,9194899887,7 days/week,6am-11pm,,,Senior and vulnerable population hours Mon. and Thurs. 6am-8pm; Delivery and pick-up available,{06111D81-7B05-4B5B-9A0C-45A47D56A74C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.95871,35.962769,1021,140199,0,FRESH MARKET,Grocery Store,4215 UNIVERSITY DR # A3,DURHAM,,,https://www.thefreshmarket.com/,,9194019467,,9194019467,7 days/week,8am-9pm,,,Senior and high-risk hours 8am-9am daily. Face covering required,{A2EF6EDC-E9F0-4415-A969-25ADD3C45273},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.961189,35.96645,1033,140516,0,LI MING'S GLOBAL MART,Grocery Store,3400 WESTGATE DR # 14A,DURHAM,,,,,9194015212,,9194015212,Sunday-Saturday,9:00am-9:00pm,,,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,{23365E24-5708-4C2A-86D9-AADEBBFCB1FB},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.957458,35.964611,1040,140537,0,LITTLE INDIA,Grocery Store,4201 UNIVERSITY DR # 110,DURHAM,,,,,9194899084,,9194899084,Sunday-Saturday,11am-9pm,,,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,{DA147486-C2EA-4B3D-9558-F4BE55043CAC},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.956627,35.967388,1049,140983,0,SAM'S CLUB,Grocery Store,4005 DURHAM-CHAPEL HILL BLVD,DURHAM,,,https://www.samsclub.com/,,9194898160,,9194898160,7 days/week,"Mon-Sat 9am-8pm, Sun 10am-6pm",,,Tues/Thurs 7am-9am early shopping & concierge service for seniors and those with disabilities or compromised immune systems.,{D8A8D08B-82C8-4721-BEEF-AD47025B90C6},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.919334,35.965435,1175,140964,0,ROXBORO PURE MART,Grocery Store,101 E CORNWALLIS RD,DURHAM,,,,,9194939600,,9194939600,,,,,CONVENIENCE STORES,{DD363F10-2B53-49F6-967B-D01D193B0FA9},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.907593,35.964088,1178,140796,0,PARKVIEW MINI MART,Grocery Store,433 E PILOT ST,DURHAM,,,,,9196825885,,9196825885,,,,,CONVENIENCE STORES,{F58B9D8D-FFB2-45ED-B207-1B0F8931A826},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.94593,36.019539,1531,139127,0,SHEETZ,Grocery Store,3414 HILLSBOROUGH RD,DURHAM,,,SHEETZ.COM,,9199734531,,9199734531,,,,,CONVENIENCE STORES,{72620771-8974-4ABF-93A6-89177584AAB9},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.927582,35.987659,1541,140183,0,FOOD LION #1343,Grocery Store,2000 CHAPEL HILL RD,DURHAM,,,https://www.foodlion.com/,,9194020190,,9194020190,7 days/week,7am-10pm,,,Senior and high-risk Mon and Wed 7-8am; Pick-up and delivery available at some stores,{91EED766-9313-44A8-B88A-9CC3DE1831B3},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
